Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
"Benzamide, 2,4-Dichloro-n-Hydroxy-n-Phenyl-",C13H9Cl2NO2,60,0.06
"Benzamide, 2,5-Dihydroxy-",C7H7NO3,3180,3.18
"Benzamide, 2,5-Dihydroxy-n-(2-Hydroxyethyl)-",C9H11NO4,56400,56.4
"Benzamide, 2-Amino-3,5-Dichloro-",C7H6Cl2N2O,1700,1.7
"Benzamide, 2-Iodo-n-Phenyl",C13H10INO,20,0.02
"Benzamide, 2-Methyl-3,5-Dinitro-",C8H7N3O5,1000,1
"Benzamide, 3,4,5-Trihydroxy-n-Phenyl-",C13H11NO4,2000,2
"Benzamide, 3,5-Dinitro-n-Phenyl-n-Hydroxy-",C13H9N3O6,70,0.07
"Benzamide, 3-(aminosulfonyl)-",C7H8N2O3S,1400,1.4
"Benzamide, 4-(aminosulfonyl)-",C7H8N2O3S,1000,1
"Benzamide, N-[2-(1h-Imidazol-4-Yl)ethyl]-",C12H13N3O,50000,50
"Benzamide, N-(2-Amino-1,1-Dimethyl-2-Oxoethyl)-",C11H14N2O2,5000,5
"Benzamide, N-(3,4-Dichlorophenyl)-n-[(dimethylam",C16H14Cl2N2O2,16,0.016
"Benzamide, N- (4-Aminophenyl)sulfonyl -",C13H12N2O3S,310,0.31
"Benzamide, N-Hydroxy-2-Iodo-n-Phenyl-",C13H10INO2,100,0.1
"Benzamide, N-Hydroxy-N-1-Naphthalenyl-",C17H13NO2,130,0.13
"Benzamide, O-(l-Arabinopyranosyloxy)-N,n-Dimethy",C14H19NO6,40000,40
"Benzenamine, 2-[(4-Aminophenyl)sulfonyl]-",C12H12N2O2S,195,0.195
"Benzenamine, 2,4-Dichloro-N-Nitro-",C6H4Cl2N2O2,207,0.207
"Benzenamine, 2,6-Dibromo-N-Nitro-",C6H4Br2N2O2,715,0.715
"Benzenamine, 2-Bromo-5-Nitro-",C6H5BrN2O2,60,0.06
"Benzenamine, 2-Ethoxy-5-Nitro-",C8H10N2O3,112,0.112
"Benzenamine, 2-Iodo-5-Nitro-",C6H5IN2O2,10,0.01
"Benzenamine, 3-Chloro-4-Methyl-, Hydrochloride (",C7H8ClN,92000,92
"Benzenamine, 4,4'-(1,2-Ethynediyl)bis-",C14H12N2,769,0.769
"Benzenamine, 4-[(4-Chlorophenyl)sulfonyl]-",C12H10ClNO2S,20,0.02
"Benzenamine, 4-(4-Pyridinylsulfonyl)-",C11H10N2O2S,30,0.03
"Benzenamine, 4-Methoxy-2-Nitro-",C7H8N2O3,120,0.12
"Benzenamine, 4-Methyl-2-[(4-Methylphenyl)azo]-",C14H15N3,28.2,0.0282
"Benzenamine, 4-(phenylazo)-, Monohydrochloride",C12H12ClN3,1000,1
"Benzenamine, N-(2,4-Dinitrophenyl)-2,4-Dinitro-",C12H7N5O8,82,0.082
"Benzenamine, N,2-Dinitro-",C6H5N3O4,13000,13
"Benzenamine, N,3-Dimethyl-",C8H11N,1080,1.08
"Benzenamine, N,4-Dinitro-",C6H5N3O4,1830,1.83
"Benzenamine, N-(4-Imino-2,5-Cyclohexadien-1-Ylid",C12H10N2,3330,3.33
"Benzenamine, N-Ethyl-2,4,6-Trinitro-",C8H8N4O6,100,0.1
"Benzenamine, N-Ethyl-N,2,4,6-Tetranitro-",C8H7N5O8,60,0.06
"Benzenamine, N-Hydroxy-4-Methyl-",C7H9NO,20000,20
"Benzenamine, N-Methyl-2,4-Dinitro-",C7H7N3O4,20,0.02
"Benzenamine, N-Nitro-",C6H6N2O2,1380,1.38
Benzene,C6H6,1790,1.79
"Benzene, (1,1-Dimethylpropyl)-",C11H16,10.5,0.0105
"Benzene, 1,1'-Methylenebis-",C13H12,14.1,0.0141
"Benzene, 1,1'-Oxybis-, Hexabromo Deriv.",C12H4Br6O,4080,4.08
"Benzene, 1,2,3,4-Tetrachloro-5,6-Dimethoxy-",C8H6Cl4O2,1.59,0.00159
"Benzene, 1,2,4,5-Tetrachloro-3-Methoxy-",C7H4Cl4O,1.82,0.00182
"Benzene, 1,2-Dichloro-3-Methoxy-",C7H6Cl2O,86.9,0.0869
"Benzene, 1,3,5-Trichloro-2-Nitro-",C6H2Cl3NO2,6.25,0.00625
"Benzene, 1,3-Dichloro-2-Methoxy-",C7H6Cl2O,140,0.14
"Benzene, 1,4-Dimethoxy-2-Nitro-",C8H9NO4,140,0.14
"Benzene, 1-Bromo-2-(1-Methylethyl)-",C9H11Br,12.9,0.0129
"Benzene, 1-Bromo-3-Isothiocyanato-",C7H4BrNS,17.6,0.0176
"Benzene, 1-[(diiodomethyl)sulfonyl]-4-Methyl-",C8H8I2O2S,10,0.01
"Benzene, 1-Fluoro-4-Iodo-",C6H4FI,166,0.166
"Benzene, 1-Methoxy-2-(2-Propenyloxy)-",C10H12O2,1000000,1000
"Benzene, 1-Methoxy-4-(2-Propenyl)-",C10H12O,178,0.178
"Benzene, 2-(2,4-Dinitrophenoxy)-1,3,5-Trinitro-",C12H5N5O11,100,0.1
"Benzeneacetic Acid, 2,4-Dimethyl-",C10H12O2,670,0.67
"Benzeneacetic Acid, 2,5-Dihydroxy-",C8H8O4,850000,850
"Benzeneacetic Acid, 2-Carboxy-",C9H8O4,16000,16
"Benzeneacetic Acid, 4-(acetyloxy)-3-Methoxy-",C11H12O5,1540,1.54
"Benzeneacetic Acid, 4-Carboxy-",C9H8O4,10000,10
"Benzeneacetic Acid, .alpha.-(acetyloxy)-, (r)-",C10H10O4,11400,11.4
"Benzeneacetic Acid, .alpha.,.alpha.-Diphenyl-",C20H16O2,50,0.05
"Benzeneacetic Acid, .alpha.-Amino-, (.+-.)-",C8H9NO2,115000,115
"Benzeneacetic Acid, .alpha.-Amino-.alpha.-Methyl",C9H11NO2,48000,48
"Benzeneacetic Acid, .alpha.-[(carboxymethyl)thio",C10H10O4S,15800,15.8
"Benzeneacetic Acid, .alpha.-(ethylthio)-",C10H12O2S,5300,5.3
"Benzeneacetic Acid, .alpha.-Hydroxy-4-(1-Methyle",C11H14O3,1890,1.89
"Benzeneacetic Acid, .alpha.-Hydroxy-.alpha.-Meth",C9H10O3,21200,21.2
"Benzeneacetic Acid, .alpha.-(hydroxymethyl)-,",C9H10O3,20000,20
"Benzeneacetic Acid, .alpha.-Hydroxy-, (r)-",C8H8O3,110000,110
"Benzeneacetic Acid, .alpha.-Hydroxy-, (s)-",C8H8O3,220000,220
"Benzeneacetic Acid, -[(sulfooxy)methyl]-, 8-Meth",C17H23NO6S,10000,10
"Benzeneacetonitrile, Alpha-((cyanomethoxy)imino)",C10H7N3O,95,0.095
"Benzeneacetonitrile, .alpha.-(diethylamino)-",C12H16N2,20000,20
"Benzenebutanoic Acid, 4-Methoxy-?-Oxo-",C11H12O4,18000,18
"Benzene, C10-13-Alkyl Derivs.",C16H26,100,0.1
Benzenediazonium Hexafluophosphate (1-),C6H5F6N2P,9000,9
"Benzeneethanamine, N,b-Dimethyl-",C10H15N,12000,12
"Benzeneethanamine, N-(phenylmethyl)-",C15H17N,400,0.4
"Benzeneethanol, 4-(1-Methylethyl)-",C11H16O,900,0.9
"Benzeneethanol, 4-Hydroxy-3-Nitro-",C8H9NO4,12800,12.8
Benzenehexamethanol,C12H18O6,650,0.65
"Benzene, Iodosyl-",C6H5IO,814,0.814
"Benzene, Iodyl-",C6H5IO2,3400,3.4
"Benzenemethanamine, 2-Nitro-N-Phenyl-",C13H12N2O2,45300,45.3
"Benzenemethanamine, .alpha.-Methyl-",C8H11N,42000,42
"Benzenemethanesulfonic Acid, 4-Amino-",C7H9NO3S,965,0.965
"Benzenemethanol, 2,3(or 3,4)-Dichloro-, Methyl C",C9H9Cl2NO2,170,0.17
"Benzenemethanol, 2,4-Dichloro-",C7H6Cl2O,1000,1
"Benzenemethanol, 2,4-Dichloro-, Propanoate",C10H10Cl2O2,200,0.2
"Benzenemethanol, 2,6-Dichloro-",C7H6Cl2O,1400,1.4
"Benzenemethanol, 2-Bromo-",C7H7BrO,1300,1.3
"Benzenemethanol, 2-Hydroxy-5-Methyl-",C8H10O2,67000,67
"Benzenemethanol, 3,4,5-Trichloro-",C7H5Cl3O,170,0.17
"Benzenemethanol, 4-Amino-.alpha.,.alpha.-Bis(4-A",C20H21N3O,300,0.3
"Benzenemethanol, 4-Bromo-",C7H7BrO,2200,2.2
"Benzenemethanol, 4-Chloro-.alpha.-Phenyl-",C13H11ClO,71,0.071
"Benzenemethanol, 4-Iodo-",C7H7IO,420,0.42
"Benzenemethanol, 5-Bromo-2-Hydroxy-",C7H7BrO2,126000,126
"Benzenepropanal, .alpha.-Oxo-",C9H8O2,1000,1
"Benzenepropanoic Acid, 2-Nitro-.beta.-Oxo-",C9H7NO5,3000,3
"Benzenepropanoic Acid, .alpha.,beta.-Dihydroxy-",C9H10O4,12900,12.9
"Benzenepropanoic Acid, .alpha.-Ethyl-.beta.-Hydr",C11H14O3,18600,18.6
"Benzenepropanoic Acid, .alpha.-Oxo-.beta.-Phenyl",C15H12O3,1110,1.11
"Benzenepropanoic Acid, .beta.-[(carboxymethyl)th",C11H12O4S,13600,13.6
Benzenesulfonamide,C6H7NO2S,4300,4.3
"Benzenesulfonamide, 2-Cyano-n-Phenyl-",C13H10N2O2S,300,0.3
"Benzenesulfonamide, 3-Amino-4-[(2-Hydroxyethyl)s",C8H12N2O5S2,13200,13.2
"Benzenesulfonamide, 3-Amino-4-[(4-Aminophenyl)su",C12H13N3O4S2,107,0.107
"Benzenesulfonamide, 3-Amino-4-Methyl-",C7H10N2O2S,2260,2.26
"Benzenesulfonamide, 3-Fluoro-4-[(2-Hydroxyethyl)",C8H10FNO3S2,6000,6
"Benzenesulfonamide, 3-Fluoro-4-[(3-Hydroxypropyl",C9H12FNO3S2,900,0.9
"Benzenesulfonamide, 3-Fluoro-4-[(4-Hydroxybutyl)",C10H14FNO3S2,1000,1
"Benzenesulfonamide, 4-[(2-Hydroxyethyl)sulfonyl]",C8H11NO5S2,6600,6.6
"Benzenesulfonamide, 4-[(2-Hydroxyethyl)thio]-",C8H11NO3S2,3500,3.5
"Benzenesulfonamide, 4-[(2-Hydroxyethyl)thio]-3-n",C8H10N2O5S2,500,0.5
"Benzenesulfonamide, 4-[3-Hydroxy-3-Methylbutyl)s",C11H17NO5S2,3500,3.5
"Benzenesulfonamide, 4-[3-Hydroxy-3-Methylbutyl)t",C11H17NO3S2,400,0.4
"Benzenesulfonamide, 4-(3-Hydroxypropyl)-",C9H13NO3S,20000,20
"Benzenesulfonamide, 4-[(3-Hydroxypropyl)sulfonyl",C9H13NO5S2,7200,7.2
"Benzenesulfonamide, 4-[(3-Hydroxypropyl)thio]-",C9H13NO3S2,1400,1.4
"Benzenesulfonamide, 4-[(3-Hydroxypropyl)thio]-3-",C9H12N2O5S2,100,0.1
"Benzenesulfonamide, 4-[(4-Aminophenyl)sulfonyl]-",C12H11N3O6S2,31,0.031
"Benzenesulfonamide, 4-(4-Hydroxybutyl)-",C10H15NO3S,14700,14.7
"Benzenesulfonamide, 4-[(4-Hydroxybutyl)sulfonyl]",C10H15NO5S2,2100,2.1
"Benzenesulfonamide, 4-[(4-Hydroxybutyl)thio]-",C10H15NO3S2,800,0.8
"Benzenesulfonamide, 4-(5-Hydroxypentyl)-",C11H17NO3S,2600,2.6
"Benzenesulfonamide, 4-[(5-Hydroxypentyl)thio]-",C11H17NO3S2,600,0.6
"Benzenesulfonamide, 4-(aminomethyl)-",C7H10N2O2S,390000,390
"Benzenesulfonamide, 4-Amino-n-(1,2,3,4-Tetrahydr",C10H10N4O4S,486,0.486
"Benzenesulfonamide, 4-Amino-n-1,3,4-Thiadiazol-2",C8H8N4O2S2,347,0.347
"Benzenesulfonamide, 4-Amino-n-(1,6-Dihydro-6-Oxo",C11H11N3O3S,2580,2.58
"Benzenesulfonamide, 4-Amino-n-1h-1,2,4-Triazol-3",C8H9N5O2S,600,0.6
"Benzenesulfonamide, 4-Amino-n-1h-Imidazol-2-Yl-",C9H10N4O2S,1780,1.78
"Benzenesulfonamide, 4-Amino-n-(1-Methyl-2(1h)-Py",C12H13N3O2S,1120,1.12
"Benzenesulfonamide, 4-Amino-n-(2,3-Dihydro-1,5-D",C17H18N4O3S,156000,156
"Benzenesulfonamide, 4-Amino-n-(2-Amino-5-Pyrimid",C10H11N5O2S,83,0.083
"Benzenesulfonamide, 4-Amino-n-2-Benzothiazolyl-",C13H11N3O2S2,1,0.001
"Benzenesulfonamide, 4-Amino-n-(2-Chloro-5-Pyrimi",C10H9ClN4O2S,321,0.321
"Benzenesulfonamide, 4-Amino-n-(2-Methoxy-5-Pyrim",C11H12N4O3S,92,0.092
"Benzenesulfonamide, 4-Amino-n-(2-Methyl-4-Pyrimi",C11H12N4O2S,6230,6.23
"Benzenesulfonamide, 4-Amino-n-2-Oxazolyl-",C9H9N3O3S,2820,2.82
"Benzenesulfonamide, 4-Amino-n-2-Pyridinyl-, N-Ox",C11H11N3O3S,1050,1.05
"Benzenesulfonamide, 4-Amino-n-(3,5-Dimethyl-4-Is",C11H13N3O3S,175,0.175
"Benzenesulfonamide, 4-Amino-n-(3-Ethoxy-2-Pyridi",C13H15N3O3S,235,0.235
"Benzenesulfonamide, 4-Amino-n-(3-Methyl-2(3h)-Th",C10H11N3O2S2,220,0.22
"Benzenesulfonamide, 4-Amino-n-(3-Methyl-5-Isoxaz",C10H11N3O3S,1040,1.04
"Benzenesulfonamide, 4-Amino-n-3-Pyridazinyl-",C10H10N4O2S,52,0.052
"Benzenesulfonamide, 4-Amino-n-3-Pyridinyl-",C11H11N3O2S,33,0.033
"Benzenesulfonamide, 4-Amino-n-(4-[1,1'-Biphenyl]",C21H17N3O2S2,10,0.01
"Benzenesulfonamide, 4-Amino-n-[4-[(4-Aminophenyl",C18H17N3O4S2,26,0.026
"Benzenesulfonamide, 4-Amino-n-(4,5-Dimethyl-2-Py",C12H14N4O2S,200,0.2
"Benzenesulfonamide, 4-Amino-n-[4-(diethylamino)-",C14H19N5O2S,42,0.042
"Benzenesulfonamide, 4-Amino-n-(4-Ethoxy-2-Pyrimi",C12H14N4O3S,53,0.053
"Benzenesulfonamide, 4-Amino-n-(4-Methoxy-2-Pyrim",C11H12N4O3S,182,0.182
"Benzenesulfonamide, 4-Amino-n-(4-Propyl-2-Pyrimi",C13H16N4O2S,250,0.25
"Benzenesulfonamide, 4-Amino-n-[5-(1-Methylethyl)",C11H14N4O2S2,115,0.115
"Benzenesulfonamide, 4-Amino-n-(5,6,7,8-Tetrahydr",C14H16N4O2S,68,0.068
"Benzenesulfonamide, 4-Amino-n-(5-Amino-1,3,4-Thi",C8H9N5O2S2,363,0.363
"Benzenesulfonamide, 4-Amino-n-(5-Amino-2-Pyridin",C11H12N4O2S,4180,4.18
"Benzenesulfonamide, 4-Amino-n-(5-Iodo-2-Pyridiny",C11H10IN3O2S,13,0.013
"Benzenesulfonamide, 4-Amino-n-(5-Methyl-1,2,4-Ox",C9H10N4O3S,1130,1.13
"Benzenesulfonamide, 4-Amino-N-(5-Nitro-2-Pyridin",C11H10N4O4S,37,0.037
"Benzenesulfonamide, 4-Amino-n-(5-Propyl-1,3,4-Th",C11H14N4O2S2,147,0.147
"Benzenesulfonamide, 4-Amino-n-5-Pyrimidinyl-",C10H10N4O2S,98,0.098
"Benzenesulfonamide, 4-Amino-n-(6-Amino-3-Pyridin",C11H12N4O2S,1290,1.29
"Benzenesulfonamide, 4-Amino-n-(6-Bromo-3-Pyridin",C11H10BrN3O2S,122,0.122
"Benzenesulfonamide, 4-Amino-n-(6-Ethoxy-3-Pyridi",C13H15N3O3S,36,0.036
"Benzenesulfonamide, 4-Amino-n-(6-Methyl-3-Pyrida",C11H12N4O2S,610,0.61
"Benzenesulfonamide, 4-Amino-n-Cyano-",C7H7N3O2S,3840,3.84
"Benzenesulfonamide, 4-Amino-n-(methylfurazanyl)-",C9H10N4O3S,1800,1.8
"Benzenesulfonamide, 4-Amino-n-Methyl-n-2-Thiazol",C10H11N3O2S2,570,0.57
"Benzenesulfonamide, 4-(d-Glucopyranoxylamino)-",C12H18N2O7S,30000,30
"Benzenesulfonamide, 4-(mannopyranosylamino)-",C12H18N2O7S,35000,35
"Benzenesulfonamide, 4-[(phenylmethyl)amino]-",C13H14N2O2S,4300,4.3
"Benzenesulfonamide, 5-Amino-2-[(4-Aminophenyl)su",C12H13N3O4S2,104,0.104
"Benzenesulfonamide, .alpha.-Hydroxy-, Butyl Este",C12H16O3,3700,3.7
"Benzenesulfonamide, N,n'-(2,5-Pyridinediyl)bis[4",C17H17N5O4S2,495,0.495
"Benzenesulfonamide, N,n'-2,5-Pyrimidinediylbis[4",C16H16N6O4S2,54,0.054
"Benzenesulfonamide, N,n-Dichloro-4-Methyl-",C7H7Cl2NO2S,82.1,0.0821
"Benzenesulfonamide, O-(3,4-Dihydro-4-Oxo-2-Quina",C14H11N3O3S,251,0.251
"Benzenesulfonic Acid, 2-Amino-4-Methyl-",C7H9NO3S,1400,1.4
"Benzenesulfonic Acid, 2-Amino-5-Bromo-",C6H6BrNO3S,595,0.595
"Benzenesulfonic Acid, 2-Methyl-5-Nitro-",C7H7NO5S,667000,667
"Benzenesulfonic Acid, 3-Amino-2,4,6-Tribromo-",C6H4Br3NO3S,133000,133
"Benzenesulfonic Acid, 3-Amino-2-Methyl-",C7H9NO3S,3410,3.41
"Benzenesulfonic Acid, 3-Amino-4-Methoxy-",C7H9NO4S,25600,25.6
"Benzenesulfonic Acid, 3-Amino-4-Methyl-",C7H9NO3S,17400,17.4
"Benzenesulfonic Acid, 3-(dimethylamino)-",C8H11NO3S,400000,400
"Benzenesulfonic Acid, 3-Hydrazino-",C6H8N2O3S,28000,28
"Benzenesulfonic Acid, 4-[(2,4-Dihydroxyphenyl)az",C12H10N2O5S,2000,2
"Benzenesulfonic Acid, 4-(2,5-Dihydro-3-Methyl-5-",C10H10N2O4S,5400,5.4
"Benzenesulfonic Acid, 4-[[(3-Hydroxy-2-Naphthale",C17H13NO5S,878,0.878
"Benzenesulfonic Acid, 4-((4-((2-Hydroxy-1-Naphth",C22H15N4NaO4S,10,0.01
"Benzenesulfonic Acid, 4- 4-(dimethylamino)pheny",C14H15N3O3S,42.1,0.0421
"Benzenesulfonic Acid, 4-Amino-",C6H7NO3S,10800,10.8
"Benzenesulfonic Acid, 4-Hydrazino-",C6H8N2O3S,5700,5.7
"Benzenesulfonic Acid, 4-Methyl-, 2-Methylphenyl",C14H14O3S,30,0.03
"Benzenesulfonic Acid, 4-(methylamino)-",C7H9NO3S,284000,284
"Benzenesulfonic Acid, 5-Amino-2-Hydroxy-",C6H7NO4S,670,0.67
"Benzenesulfonic Acid, 5-Amino-2-Methyl-",C7H9NO3S,4500,4.5
"Benzenesulfonic Acid, Pentabromo-",C6HBr5O3S,5450,5.45
"Benzenesulfonic Acid, P-[(p-Nitrophenyl)azo]-",C12H9N3O5S,31000,31
"Benzenesulfonyl Chloride, 4-Iodo-",C6H4ClIO2S,16.3,0.0163
Benzhydrol,C13H12O,520,0.52
Benzidine,C12H12N2,322,0.322
Benzilic Acid,C14H12O3,1410,1.41
Benzimidazole,C7H6N2,2010,2.01
Benzo(a)fluorene,C17H12,454,0.454
"Benzo[a]heptalen-9(5h)-One, 7-Amino-6,7-Dihydro-",C19H21NO5,14000,14
"Benzo[a]naphth[2,3-H]acridine-5,8,13(14h)-Trione",C25H13NO3,4130,4.13
Benzo(a)pyrene,C20H12,1620,1.62
"Benzo[a]pyrene, 5-Methyl-",C21H14,80000,80
Benzo(b)fluoranthene,C20H12,1500,1.5
Benzo(b)fluorene,C17H12,2010,2.01
Benzo(b)thiophene,C8H6S,130,0.13
Benzo(c)phenanthrene,C18H12,3450,3.45
Benzo(e)pyrene,C20H12,6300,6.3
Benzofenap,C22H20Cl2N2O3,13,0.013
Benzo(f)quinoline,C13H9N,78.7,0.0787
Benzo(ghi)perylene,C22H12,26000,26
Benzoguanamine,C9H9N5,600,0.6
Benzoic Acid,C7H6O2,3400,3.4
"Benzoic Acid, 2,2'-(1-Oxo-1,2-Ethanediyl)bis-",C16H12O5,460,0.46
"Benzoic Acid, 2-(2,4-Dihydroxybenzoyl)-",C14H10O5,520,0.52
"Benzoic Acid, 2-(2-Hydroxybenzoyl)-",C14H10O4,1100,1.1
"Benzoic Acid, 2-[4,5-Dihydro-4-Methyl-4-(1-Methy",C16H22N2O3,857,0.857
"Benzoic Acid, 2,4,6-Tribromo-",C7H3Br3O2,3500,3.5
"Benzoic Acid, 2,4,6-Triiodo-3,5-Bis[(1-Oxopropyl",C13H13I3N2O4,1000,1
"Benzoic Acid, 2-(4-Bromobenzoyl)-",C14H9BrO3,300,0.3
"Benzoic Acid, 2-(4-Chlorobenzoyl)-",C14H9ClO3,500,0.5
"Benzoic Acid, 2-(4-Hydroxybenzoyl)-",C14H10O4,632,0.632
"Benzoic Acid, 2,5-Dihydroxy-4-Methyl-",C8H8O4,730,0.73
"Benzoic Acid, 2,6-Dibromo-3,4,5-Trihydroxy-",C7H4Br2O5,125000,125
"Benzoic Acid, 2,6-Dihydroxy-4-Methyl-",C8H8O4,1500,1.5
"Benzoic Acid, 2-[acetyl(carboxymethyl)amino]-",C11H11NO5,1940,1.94
"Benzoic Acid, 2-(acetyloxy)-, (1-Oxobutoxy)methy",C14H16O6,350,0.35
"Benzoic Acid, 2-(acetyloxy)-, 2-[(2-Ethoxy-2-Oxo",C16H19NO7,960,0.96
"Benzoic Acid, 2-(acetyloxy)-, 2-(4-Morpholinyl)-",C15H17NO6,4830,4.83
"Benzoic Acid, 2-(acetyloxy)-, (2,5-Dioxo-1-Pyrro",C14H13NO6,500,0.5
"Benzoic Acid, 2-(acetyloxy)-, 2-Amino-2-Oxoethyl",C11H11NO5,3840,3.84
"Benzoic Acid, 2-(acetyloxy)-, 2-[bis(1-Methyleth",C17H23NO5,180,0.18
"Benzoic Acid, 2-(acetyloxy)-, 2-(diethylamino)-2",C15H19NO5,2280,2.28
"Benzoic Acid, 2-(acetyloxy)-, 2-(dimethylamino)-",C13H15NO5,7500,7.5
"Benzoic Acid, 2-(acetyloxy)-, 2-(dipropylamino)-",C17H23NO5,720,0.72
"Benzoic Acid, 2-(acetyloxy)-, 2-Ethoxy-2-Oxoethy",C13H14O6,700,0.7
"Benzoic Acid, 2-(acetyloxy)-, 2-(ethylamino)-2-o",C13H15NO5,5520,5.52
"Benzoic Acid, 2-(acetyloxy)-, 4-(acetylamino)phe",C17H15NO5,20,0.02
"Benzoic Acid, 2-(acetyloxy)-, (acetyloxy)methyl",C12H12O6,2430,2.43
"Benzoic Acid, 2-(acetyloxy)-, (methylsulfinyl)me",C11H12O5S,4230,4.23
"Benzoic Acid, 2-(acetyloxy)-, (methylsulfonyl)me",C11H12O6S,110,0.11
"Benzoic Acid, 2-(acetyloxy)-, (methylthio)methyl",C11H12O4S,550,0.55
"Benzoic Acid, 2-(acetyloxy)-, Phenyl Ester",C15H12O4,20,0.02
"Benzoic Acid, 2-Amino-3,5-Dinitro-",C7H5N3O6,180,0.18
"Benzoic Acid, 2-Amino-4-Sulfo-",C7H7NO5S,10500,10.5
"Benzoic Acid, 2-[[(aminocarbonyl)amino]carbonyl]",C9H8N2O4,35000,35
"Benzoic Acid, 2-Benzoyl-, Ethyl Ester",C16H14O3,100,0.1
"Benzoic Acid, 2-Benzoylhydrazide",C14H12N2O2,6200,6.2
"Benzoic Acid, 2-Benzoyl-, Methyl Ester",C15H12O3,80,0.08
"Benzoic Acid, 2- Bis(4-Hydroxyphenyl)methyl -",C20H16O4,175,0.175
"Benzoic Acid, 2-[(carboxycarbonyl)amino]-",C9H7NO5,1120,1.12
"Benzoic Acid, 2-(diethylamino)-2-Oxoethyl Ester",C13H17NO3,2000,2
"Benzoic Acid, 2-Hydroxy-, 2-[(2-Hydroxyethyl)met",C12H15NO5,6300,6.3
"Benzoic Acid, 2-Hydroxy-, 2,3-Dihydroxypropyl Es",C10H12O5,10000,10
"Benzoic Acid, 2-Hydroxy-, 2-(dimethylamino)-2-Ox",C11H13NO4,4400,4.4
"Benzoic Acid, 2-Hydroxy-, 2-Hydroxyethyl Ester",C9H10O4,12700,12.7
"Benzoic Acid, 2-Hydroxy-, 3-Methylbutyl Ester",C12H16O3,145,0.145
"Benzoic Acid, 2-Hydroxy-5-(phenylazo)-",C13H10N2O3,213,0.213
"Benzoic Acid, 2-Hydroxy-, Methoxymethyl Ester",C9H10O4,913,0.913
"Benzoic Acid, 2-(hydroxymethyl)-",C8H8O3,4280,4.28
"Benzoic Acid, 2-(methylamino)-",C8H9NO2,200,0.2
"Benzoic Acid, 2-Sulfo-",C7H6O5S,500000,500
"Benzoic Acid, 2-(trifluoromethyl)-",C8H5F3O2,4800,4.8
"Benzoic Acid, 3,3'-Methylenebis-",C15H12O4,1000,1
"Benzoic Acid, 3,4-Dimethoxy-2-Nitro-",C9H9NO6,1000,1
"Benzoic Acid, 3,4-Dimethoxy-, Monohydrate",C9H10O4,465,0.465
"Benzoic Acid, 3,5-Diamino-",C7H8N2O2,11000,11
"Benzoic Acid, 3,5-Dihydroxy-4-Methoxy-, Methyl E",C9H10O5,5000,5
"Benzoic Acid, 3-(acetylamino)-2,4,6-Triiodo-",C9H6I3NO3,1280,1.28
"Benzoic Acid, 3-Amino-4-Sulfo-",C7H7NO5S,800,0.8
"Benzoic Acid, 3-Brom-4-Hydroxy-, Methyl Ester",C8H7BrO3,158,0.158
"Benzoic Acid, 3-Chloro-2-Hydroxy-",C7H5ClO3,800,0.8
"Benzoic Acid, 3-Chloro-4-Hydroxy-, Ethyl Ester",C9H9ClO3,120,0.12
"Benzoic Acid, 3-Chloro-4-Hydroxy-, Methyl Ester",C8H7ClO3,250,0.25
"Benzoic Acid, 3-Formyl-2-Hydroxy-",C8H6O4,600,0.6
"Benzoic Acid, 4-(2,4-Diaminophenylazo)-, Ethyl E",C15H16N4O2,120,0.12
"Benzoic Acid, 4-(2,4-Diaminophenylazo)-, Methyl",C14H14N4O2,170,0.17
"Benzoic Acid, 4-[(3-Pyridinylcarbonyl)amino]-",C13H10N2O3,200,0.2
"Benzoic Acid, 4,5-Dimethoxy-2-Nitro-",C9H9NO6,40000,40
"Benzoic Acid, 4-Amino-, 1-Methylethyl Ester",C10H13NO2,440,0.44
"Benzoic Acid, 4-Amino-, 2-Methylpropyl Ester",C11H15NO2,220,0.22
"Benzoic Acid, 4-Amino-2-Sulfo-",C7H7NO5S,3000,3
"Benzoic Acid, 4-Amino-, Dodecyl Ester",C19H31NO2,4840,4.84
"Benzoic Acid, 4-Amino-, Heptyl Ester",C14H21NO2,5.91,0.00591
"Benzoic Acid, 4-Amino-, Hexyl Ester",C13H19NO2,24.6,0.0246
"Benzoic Acid, 4-Amino-, Nonyl Ester",C16H25NO2,26.3,0.0263
"Benzoic Acid, 4-Amino-, Octyl Ester",C15H23NO2,99.3,0.0993
"Benzoic Acid, 4-Amino-,penty Ester",C12H17NO2,92.6,0.0926
"Benzoic Acid, 4-Bromo-3-Nitro-",C7H4BrNO4,265,0.265
"Benzoic Acid, 4-(dodecyloxy)-",C19H30O3,1100,1.1
"Benzoic Acid, 4-Fluoro-3-Nitro-",C7H4FNO4,4860,4.86
"Benzoic Acid, 4-Hydroxy-3-Iodo-, Butyl Ester",C11H13IO3,40,0.04
"Benzoic Acid, 4-Hydroxy-3-Iodo-, Ethyl Ester",C9H9IO3,94,0.094
"Benzoic Acid, 4-Hydroxy-3-Iodo-, Methyl Ester",C8H7IO3,135,0.135
"Benzoic Acid, 4-Hydroxy-3-Iodo-, Propyl Ester",C10H11IO3,63,0.063
"Benzoic Acid, 4-Hydroxy, Octyl Ester",C15H22O3,15,0.015
